model_group,dataset_version,base_sample_id,condition,comparison,feature_variant,baseline_variant,feature_accuracy,baseline_accuracy,difference,direction
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,1,low_boundary,shape_only_minus_full,shape_only,full,1.0,1.0,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,1,low_boundary,color_only_minus_shape_only,color_only,shape_only,1.0,1.0,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,1,low_boundary,color_only_minus_full,color_only,full,1.0,1.0,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,1,temporal_boundary,shape_only_minus_full,shape_only,full,1.0,1.0,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,1,temporal_boundary,color_only_minus_shape_only,color_only,shape_only,1.0,1.0,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,1,temporal_boundary,color_only_minus_full,color_only,full,1.0,1.0,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,1,visual_boundary,shape_only_minus_full,shape_only,full,0.5,0.5,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,1,visual_boundary,color_only_minus_shape_only,color_only,shape_only,1.0,0.5,0.5,improved
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,1,visual_boundary,color_only_minus_full,color_only,full,1.0,0.5,0.5,improved
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,1,audio_boundary,shape_only_minus_full,shape_only,full,1.0,1.0,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,1,audio_boundary,color_only_minus_shape_only,color_only,shape_only,1.0,1.0,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,1,audio_boundary,color_only_minus_full,color_only,full,1.0,1.0,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,2,low_boundary,shape_only_minus_full,shape_only,full,0.5,1.0,-0.5,worse
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,2,low_boundary,color_only_minus_shape_only,color_only,shape_only,1.0,0.5,0.5,improved
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,2,low_boundary,color_only_minus_full,color_only,full,1.0,1.0,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,2,temporal_boundary,shape_only_minus_full,shape_only,full,1.0,1.0,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,2,temporal_boundary,color_only_minus_shape_only,color_only,shape_only,1.0,1.0,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,2,temporal_boundary,color_only_minus_full,color_only,full,1.0,1.0,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,2,visual_boundary,shape_only_minus_full,shape_only,full,1.0,0.5,0.5,improved
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,2,visual_boundary,color_only_minus_shape_only,color_only,shape_only,1.0,1.0,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,2,visual_boundary,color_only_minus_full,color_only,full,1.0,0.5,0.5,improved
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,2,audio_boundary,shape_only_minus_full,shape_only,full,1.0,1.0,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,2,audio_boundary,color_only_minus_shape_only,color_only,shape_only,1.0,1.0,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,2,audio_boundary,color_only_minus_full,color_only,full,1.0,1.0,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,3,low_boundary,shape_only_minus_full,shape_only,full,1.0,1.0,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,3,low_boundary,color_only_minus_shape_only,color_only,shape_only,1.0,1.0,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,3,low_boundary,color_only_minus_full,color_only,full,1.0,1.0,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,3,temporal_boundary,shape_only_minus_full,shape_only,full,1.0,0.5,0.5,improved
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,3,temporal_boundary,color_only_minus_shape_only,color_only,shape_only,1.0,1.0,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,3,temporal_boundary,color_only_minus_full,color_only,full,1.0,0.5,0.5,improved
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,3,visual_boundary,shape_only_minus_full,shape_only,full,0.5,0.5,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,3,visual_boundary,color_only_minus_shape_only,color_only,shape_only,1.0,0.5,0.5,improved
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,3,visual_boundary,color_only_minus_full,color_only,full,1.0,0.5,0.5,improved
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,3,audio_boundary,shape_only_minus_full,shape_only,full,0.5,0.5,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,3,audio_boundary,color_only_minus_shape_only,color_only,shape_only,1.0,0.5,0.5,improved
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,3,audio_boundary,color_only_minus_full,color_only,full,1.0,0.5,0.5,improved
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,4,low_boundary,shape_only_minus_full,shape_only,full,1.0,1.0,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,4,low_boundary,color_only_minus_shape_only,color_only,shape_only,1.0,1.0,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,4,low_boundary,color_only_minus_full,color_only,full,1.0,1.0,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,4,temporal_boundary,shape_only_minus_full,shape_only,full,1.0,1.0,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,4,temporal_boundary,color_only_minus_shape_only,color_only,shape_only,1.0,1.0,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,4,temporal_boundary,color_only_minus_full,color_only,full,1.0,1.0,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,4,visual_boundary,shape_only_minus_full,shape_only,full,1.0,1.0,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,4,visual_boundary,color_only_minus_shape_only,color_only,shape_only,1.0,1.0,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,4,visual_boundary,color_only_minus_full,color_only,full,1.0,1.0,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,4,audio_boundary,shape_only_minus_full,shape_only,full,1.0,1.0,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,4,audio_boundary,color_only_minus_shape_only,color_only,shape_only,1.0,1.0,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,4,audio_boundary,color_only_minus_full,color_only,full,1.0,1.0,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,5,low_boundary,shape_only_minus_full,shape_only,full,0.5,0.5,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,5,low_boundary,color_only_minus_shape_only,color_only,shape_only,1.0,0.5,0.5,improved
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,5,low_boundary,color_only_minus_full,color_only,full,1.0,0.5,0.5,improved
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,5,temporal_boundary,shape_only_minus_full,shape_only,full,0.5,1.0,-0.5,worse
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,5,temporal_boundary,color_only_minus_shape_only,color_only,shape_only,1.0,0.5,0.5,improved
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,5,temporal_boundary,color_only_minus_full,color_only,full,1.0,1.0,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,5,visual_boundary,shape_only_minus_full,shape_only,full,0.5,0.5,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,5,visual_boundary,color_only_minus_shape_only,color_only,shape_only,0.5,0.5,0.0,same
Qwen_Qwen3-VL-8B-Instruct,l5_feature_ablation_v1,5,visual_boundary,color_only_minus_full,color_only,full,0.5,0.5,0.0,same
